Year,Total number of flights,Pax Carried,Total number of accidents,Fatal accidents per million commercial flights,Fatalities per million passengers
1970,9448300,310441400,60,6.4561877,4.767405
1971,9504500,331604900,46,4.945026,4.4299707
1973,9764900,401571800,61,6.246864,5.652787
1974,9254900,421145200,58,6.2669506,5.0101485
1975,9244700,432276500,44,4.759484,2.671901
1976,9562900,471773400,51,5.437681,3.6415787
1977,9915900,513269280,52,5.244103,3.3354812
1978,10183700,576090000,40,4.0260415,2.1437624
1979,10653400,648400600,54,5.162671,2.6974065
1980,10704900,641872900,33,3.0827005,2.0736194
1981,10270100,640619400,37,3.7000613,1.3440118
1982,10335800,654482100,32,3.0960352,1.744891
1983,10758700,685101600,31,2.974337,1.9646722
1984,11404000,732410300,30,2.630656,0.8724618
1985,11897900,783198100,39,3.2778895,3.091172
1986,12677000,842594300,37,2.9975545,1.0645692
1987,13244800,904838100,43,3.2465572,1.4544039
1988,13880900,953896000,53,3.8902376,1.7926482
1989,14021100,983208800,54,3.8513384,1.8022621
1990,14583900,1024976640,41,2.879888,0.7122114
1991,14360900,1133228200,48,3.4120424,1.0130352
1992,14918800,1145436700,47,3.1503875,1.2754961
1993,15986200,1142265200,43,2.68982,1.0645514
1994,17218900,1233233400,48,2.7876346,1.1571208
1995,18008200,1302891600,48,2.7209826,0.9079803
1996,18953600,1390963700,49,2.5852609,1.3839326
1997,19546600,1455104300,36,1.8929123,0.8521726
1998,19653200,1466961800,46,2.391468,0.90663576
1999,20736600,1562256300,44,2.1218522,0.4416689
2000,22008658,1674064800,36,1.6811565,0.68037987
2001,22264220,1655230200,36,1.6169442,0.6796638
2002,20817389,1627404900,33,1.5852133,0.658103
2003,21282617,1665309300,26,1.2216543,0.3999257
2004,23752616,1888695300,32,1.3472201,0.28644112
2005,24215712,1969590800,34,1.4040471,0.536152
2006,24829383,2072414000,23,0.96659666,0.42510813
2007,26016011,2209136400,29,1.153136,0.34945783
2008,25498093,2208218600,26,1.0196842,0.24997525
2009,26122523,2249728500,22,0.8804662,0.3222611
2010,30222074,2669414400,26,0.8933867,0.31130424
2011,31203707,2833214000,31,1.0255191,0.18036054
2012,31434525,2943248000,17,0.54080665,0.14168021
2013,32160518,3100200700,23,0.71516263,0.0825753
2014,33026724,3285080800,18,0.5450132,0.29253465
2015,34030586,3525115100,9,0.2938533,0.15233545
2016,35337714,3760774400,16,0.45277408,0.080568515
2017,36299460,4025616100,10,0.2754862,0.010930004
2018,37405640,4293921500,14,0.37427512,0.12925248
2019,38082933,4455690000,20,0.5251697,0.06396315
2020,20098778,1771894100,8,0.39803416,0.17777586
2021,24054588,2279974700,10,0.4572932,0.053947967
