Date,Time,Year,Manufacturer,Contributory Factors,Phase of Flight,Crash Location,Departure,Destination,Aboard,Aboard Passangers,Aboard Crew,Fatalities,Fatalities Passangers,Fatalities Crew,Ground
1/24/1950,,1950,Douglas/McDonnell Douglas,Other/Undetermined,Other/Unknown,"Near Tamatave, Madagascar",Antananarivo,Tamatave,14,11,3,14,11,3,0
1/24/1950,,1950,Douglas/McDonnell Douglas,Other/Undetermined,Other/Unknown,"Iloilo,Philippines",Iloilo,Manila,4,1,3,4,1,3,0
2/2/1950,445,1950,Douglas/McDonnell Douglas,Takeoff/Landing Incident,Takeoff/Initial Climb,North Sea,Amsterdam,London,7,0,7,7,0,7,0
2/27/1950,,1950,Douglas/McDonnell Douglas,Other/Undetermined,En route/Cruise,"Near Prague, Czechoslovakia",Ostrava,Prague,5,3,2,5,3,2,0
3/7/1950,2059,1950,Other,"Weather Related, Collision",Landing/Approach,"Minneapolis, Minnesota",Rochester Minn.,Minneapolis,13,10,3,13,10,3,2
3/10/1950,,1950,Other,Other/Undetermined,Other/Unknown,"Saigon, Vietnam",Hue,Tourane,4,1,3,4,1,3,0
3/12/1950,1450,1950,Other,Loss of Control In-Flight (LOC-I),Takeoff/Initial Climb,"Llandow Airport, Cardiff, Wales",Llandow,Dublin,83,78,5,80,75,5,0
3/25/1950,,1950,Douglas/McDonnell Douglas,"Fire/Smoke Onboard, Takeoff/Landing Incident",Landing/Approach,"Ankara, Turkey",,,15,11,4,15,11,4,0
3/28/1950,,1950,Other,Mechanical/System Failure,Other/Unknown,"Off Cap-Ferret, France",,,12,0,12,12,0,12,0
4/5/1950,,1950,Douglas/McDonnell Douglas,"Mechanical/System Failure, Takeoff/Landing Incident",Takeoff/Initial Climb,"Hatiara, India",,,3,0,3,3,0,3,0
4/15/1950,,1950,Douglas/McDonnell Douglas,Other/Undetermined,Unknown,"Santa Ana, Colombia",,,25,23,2,25,23,2,0
5/2/1950,,1950,Douglas/McDonnell Douglas,Other/Undetermined,Other/Unknown,"Chimborazo, Ecuador",Quito,Guayaquil,15,12,3,15,12,3,0
5/24/1950,,1950,Douglas/McDonnell Douglas,Other/Undetermined,Other/Unknown,"Near Pasto, Colombia",Popayan,Ipiales,26,23,3,25,22,3,0
5/27/1950,1730,1950,Other,"Mechanical/System Failure, Maintenance Issues, Takeoff/Landing Incident",Takeoff/Initial Climb,"Teterboro, New Jersey",,,2,0,2,1,0,1,0
5/30/1950,,1950,Douglas/McDonnell Douglas,"Weather Related, Mechanical/System Failure",Landing/Approach,"Near Ilheus, Brazil",Victoria,Salvador,15,11,4,13,9,4,0
6/5/1950,2203,1950,Other,Mechanical/System Failure,Other/Unknown,Atlantic Ocean off Florida,San Juan,Wilmington NC,65,62,3,28,28,0,0
6/9/1950,1900,1950,Douglas/McDonnell Douglas,Other/Undetermined,Other/Unknown,"Near Fonseca, Colombia","Kingston, Jamacia","Maracaibo, Venezuela",15,12,3,15,12,3,0
6/23/1950,2325,1950,Douglas/McDonnell Douglas,Weather Related,En route/Cruise,"Lake Michigan, 18 NNW of Benton Harbor, Michigan",New York City,Minneapolis-St. Paul,58,55,3,58,55,3,0
7/9/1950,,1950,Douglas/McDonnell Douglas,Other/Undetermined,Takeoff/Initial Climb,"Casablanca, Morocco",Paris,Dakar,29,25,4,22,18,4,0
7/17/1950,,1950,Douglas/McDonnell Douglas,Weather Related,Other/Unknown,"Near Pathankot, India",Delhi,Sringagar,22,18,4,22,18,4,0
7/18/1950,,1950,Douglas/McDonnell Douglas,Other/Undetermined,Unknown,"Near Bocoio, Angola",Nova Lisboa,Lobito,9,6,3,9,6,3,0
7/28/1950,,1950,Lockheed,Takeoff/Landing Incident,Landing/Approach,"Porte Alegre, Brazil",Rio de Janeiro,Porte Algegre,50,43,7,50,43,7,0
7/29/1950,,1950,Other,Explosion/Decompression,Other/Unknown,"Tunbukta, Algeria",Algiers,Gao,26,22,4,26,22,4,0
7/30/1950,,1950,,Other/Undetermined,Unknown,"Algrete, Brazil",,,,,,10,,,
7/30/1950,544,1950,Ilyushin,Mechanical/System Failure,Other/Unknown,"Karaganda, Russia",,,25,19,6,25,19,6,0
8/22/1950,237,1950,Douglas/McDonnell Douglas,"Pilot/Human Error, Mechanical/System Failure, Takeoff/Landing Incident, Explosion/Decompression",Landing/Approach,"Near Eagle, Colorado",Los Angeles,Chicago,59,54,5,1,1,0,0
9/4/1950,1410,1950,Douglas/McDonnell Douglas,"Mechanical/System Failure, Takeoff/Landing Incident, Collision",Takeoff/Initial Climb,"Utica, New York","Utica, NY","Newark, NJ",23,20,3,16,13,3,0
9/14/1950,,1950,Douglas/McDonnell Douglas,Takeoff/Landing Incident,Takeoff/Initial Climb,"Tehran, Iran",,,8,5,3,8,5,3,0
9/21/1950,,1950,Douglas/McDonnell Douglas,Takeoff/Landing Incident,Landing/Approach,"Near Zagreb, Yugoslavia",Belgrad,Paula,11,7,4,10,6,4,0
9/23/1950,,1950,Other,Loss of Control In-Flight (LOC-I),En route/Cruise,"Karlstad, Sweden",Karlstad,Stockholm,10,9,1,10,9,1,0
10/13/1950,,1950,Other,Mechanical/System Failure,Other/Unknown,"Almelund, Minnisota",Training,,6,3,3,6,3,3,0
10/13/1950,,1950,Douglas/McDonnell Douglas,Other/Undetermined,Unknown,"Casablanca, Morocco",Casablanca,Algiers,7,4,3,4,1,3,0
10/17/1950,,1950,Douglas/McDonnell Douglas,"Mechanical/System Failure, Takeoff/Landing Incident, Collision",Takeoff/Initial Climb,"London, England",London,Glasgow,29,24,5,28,24,4,0
10/31/1950,1954,1950,Other,"Weather Related, Takeoff/Landing Incident",Landing/Approach,"London Heathrow, England",Paris,London,30,26,4,28,24,4,0
11/13/1950,1800,1950,Douglas/McDonnell Douglas,Other/Undetermined,Other/Unknown,"Mt.  Tete de L'Obiou, France",Rome,Paris,52,45,7,52,45,7,0
11/17/1950,,1950,Douglas/McDonnell Douglas,Other/Undetermined,On Ground,"Surabaya, Indonesia",,,23,20,3,2,0,2,0
11/21/1950,,1950,Douglas/McDonnell Douglas,"Weather Related, Mechanical/System Failure",Other/Unknown,"Near Moran Junction, Wyoming","Chico, CA","Billings, WY",21,18,3,21,18,3,0
11/23/1950,,1950,Douglas/McDonnell Douglas,Weather Related,En route/Cruise,"Cuzco, Peru",Maldorado,Quincemil,9,5,4,9,5,4,0
11/25/1950,,1950,Douglas/McDonnell Douglas,Other/Undetermined,Other/Unknown,"Khitka, Bhutan",,,3,0,3,3,0,3,0
12/1/1950,,1950,Douglas/McDonnell Douglas,Other/Undetermined,Other/Unknown,"Near Chamaran, Iran",,,8,7,1,8,7,1,0
12/8/1950,,1950,Douglas/McDonnell Douglas,Other/Undetermined,Other/Unknown,"Ruig Piner, France",Casablanca,Perpignan,7,4,3,5,2,3,0
12/8/1950,,1950,Douglas/McDonnell Douglas,"Pilot/Human Error, Takeoff/Landing Incident",Takeoff/Initial Climb,"Bangui, French Equatorial Africa",,,56,50,6,46,43,3,0
12/13/1950,,1950,Douglas/McDonnell Douglas,Other/Undetermined,Other/Unknown,"Katagiri, India",,,21,17,4,21,17,4,0
12/13/1950,,1950,Douglas/McDonnell Douglas,"Pilot/Human Error, Mechanical/System Failure, Takeoff/Landing Incident",Takeoff/Initial Climb,"Londrina, Brazil",,,9,,,9,,,3
12/14/1950,,1950,Douglas/McDonnell Douglas,Other/Undetermined,Other/Unknown,"Ribeirao, Brazil",,,1,0,1,1,0,1,3
12/15/1950,1330,1950,Douglas/McDonnell Douglas,"Pilot/Human Error, Fire/Smoke Onboard, Collision",En route/Cruise,"Valera, Venezuela",Merida,Caracas,31,28,3,31,28,3,0
12/22/1950,1353,1950,Douglas/McDonnell Douglas,Collision,Landing/Approach,"Penticton, British Columbia, Canada",Vancouver,Penticton,18,15,3,2,0,2,0
12/30/1950,,1950,Douglas/McDonnell Douglas,Other/Undetermined,On Ground,"Santiago del Estado, Argentina",Mar del Plata,Buenos,18,13,5,17,12,5,0
1/12/1951,1450,1951,Bombardier/De Havilland,Other/Undetermined,Other/Unknown,"Ixopo, South Africa",Margate,Ladysmith,12,10,2,12,10,2,0
1/13/1951,,1951,Douglas/McDonnell Douglas,Other/Undetermined,En route/Cruise,"Mt. Bukit, Besar,Thailand",Butterworth,Kota Bharu,10,7,3,10,7,3,0
1/14/1951,1413,1951,Douglas/McDonnell Douglas,"Weather Related, Pilot/Human Error, Fire/Smoke Onboard, Takeoff/Landing Incident",Landing/Approach,"Philadelphia, Pennsylvania",Newark,Philadelphia,28,25,3,7,6,1,0
1/16/1951,1214,1951,Other,"Mechanical/System Failure, Fire/Smoke Onboard, Explosion/Decompression",On Ground,"Near Reardan, Washington",Minneapolis,Seattle,10,7,3,10,7,3,0
1/17/1951,1436,1951,Other,Other/Undetermined,On Ground,"Near Civitavecchia, Italy",Paris,Rome,17,12,5,14,10,4,0
1/31/1951,1645,1951,Douglas/McDonnell Douglas,"Weather Related, Takeoff/Landing Incident",Landing/Approach,"Off Hafnarfjorour, Iceland",Vestmannaeyar Island,ReykjavÃ­k,20,17,3,20,17,3,0
2/3/1951,1430,1951,Douglas/McDonnell Douglas,Other/Undetermined,Other/Unknown,"Near Mt. Cameroun, Buea, Nigeria",Douala,Niamey,29,23,6,29,23,6,0
2/14/1951,,1951,Other,Other/Undetermined,En route/Cruise,"Yali, Colombia",MedellÃ­n,Barranquilla,2,0,2,2,0,2,0
3/2/1951,912,1951,Douglas/McDonnell Douglas,"Weather Related, Pilot/Human Error, Loss of Control In-Flight (LOC-I)",Landing/Approach,"Sioux City, Iowa","Kansas City, MO","Omaha, NB",25,21,4,16,13,3,0
3/11/1951,,1951,Douglas/McDonnell Douglas,"Pilot/Human Error, Takeoff/Landing Incident",Takeoff/Initial Climb,"Mt. Butler, Hong Kong",Hong Kong,Bangkok,24,20,4,24,20,4,0
3/21/1951,1720,1951,Douglas/McDonnell Douglas,Weather Related,Other/Unknown,"Corozal, Colombia",San Marcos,Cartagena,29,26,3,29,26,3,0
3/22/1951,1730,1951,Douglas/McDonnell Douglas,"Weather Related, Mechanical/System Failure, Takeoff/Landing Incident",Landing/Approach,"Off Florianopolis, Brazil",Rio de Janeiro,SÃ£o Paulo,14,10,4,3,3,0,0
3/25/1951,442,1951,Other,"Mechanical/System Failure, Fire/Smoke Onboard, Collision",Other/Unknown," Irkutsk, Russia",Irkutsk,Chita,13,9,4,12,8,4,0
3/26/1951,,1951,Douglas/McDonnell Douglas,Loss of Control In-Flight (LOC-I),Landing/Approach,"Rio Grande, Argentina",Ushuaia,RÃ­o Grande,24,20,4,11,8,3,2
3/27/1951,,1951,Douglas/McDonnell Douglas,"Weather Related, Mechanical/System Failure",Other/Unknown,"Manchester, England",Manchester,Belfast,3,0,3,2,0,2,0
4/2/1951,,1951,Douglas/McDonnell Douglas,Explosion/Decompression,Landing/Approach,"Bogota, Colombia",,,26,24,2,26,24,2,0
4/6/1951,2030,1951,Douglas/McDonnell Douglas,Weather Related,En route/Cruise,"Refugio Pass, near Santa Barbara, California",Santa Maria,Santa Barbara,22,19,3,22,19,3,0
4/9/1951,,1951,Douglas/McDonnell Douglas,"Weather Related, Loss of Control In-Flight (LOC-I)",Landing/Approach,"Cape d'Arguilar, Hong Kong",Bangkok,Hong Kong,16,11,5,16,11,5,0
4/28/1951,1932,1951,Douglas/McDonnell Douglas,Weather Related,On Ground,"Fort Wayne, Indiana",Cleveland,Fort Wayne,11,8,3,11,8,3,0
5/8/1951,1412,1951,Other,"Mechanical/System Failure, Takeoff/Landing Incident",Landing/Approach,"Bordeaux, France",Gibraltar,Bordeaux,32,27,5,2,0,2,0
5/18/1951,1910,1951,Douglas/McDonnell Douglas,Weather Related,Other/Unknown,"Rancharia,  Brazil",Santa Cruz de Rio Prado,Presidente Prudent,7,4,3,7,4,3,0
6/6/1951,1740,1951,Douglas/McDonnell Douglas,Other/Undetermined,Landing/Approach,"Rio de Janeiro, Brazil",Vitoria,Rio de Janeiro,19,16,3,2,1,1,0
6/13/1951,600,1951,Douglas/McDonnell Douglas,"Loss of Control In-Flight (LOC-I), Takeoff/Landing Incident, Explosion/Decompression",Landing/Approach,"Medellin, Colombia",MedellÃ­n,Cartagena,3,0,3,3,0,3,0
6/22/1951,325,1951,Lockheed,Other/Undetermined,Landing/Approach,"Near Sanoyea, Liberia",Johannesburg,Accra,40,31,9,40,31,9,0
6/29/1951,,1951,Other,Weather Related,Other/Unknown,"Near Rijeka, Yugoslavia",Rejeka,Zagreb,14,11,3,14,11,3,0
6/30/1951,200,1951,Douglas/McDonnell Douglas,"Weather Related, Pilot/Human Error",En route/Cruise,"Rocky Mountain Nat. Park, near Ft. Collins, Colorado",Salt Lake City,Denver,50,45,5,50,45,5,0
7/12/1951,,1951,Douglas/McDonnell Douglas,Other/Undetermined,Other/Unknown,"Near Tezpur, India",Calcutta,Tezpur,3,0,3,3,0,3,0
7/12/1951,,1951,Douglas/McDonnell Douglas,"Weather Related, Takeoff/Landing Incident",Landing/Approach,"Aracaju, Brazil",Natal,Recife,33,28,5,33,28,5,0
7/16/1951,907,1951,Bombardier/De Havilland,Mechanical/System Failure,Other/Unknown,"Off Lae, New Guinea",Wau,Bulolo,7,5,2,7,5,2,0
7/20/1951,,1951,Douglas/McDonnell Douglas,Other/Undetermined,Other/Unknown,"Thudamot, China",Pakse,Saigon,3,0,3,3,0,3,0
7/21/1951,2255,1951,Douglas/McDonnell Douglas,Other/Undetermined,Other/Unknown,"Near Sitka, Alaska",Vancouver,Tokyo,37,31,6,37,31,6,0
7/24/1951,545,1951,Douglas/McDonnell Douglas,"Mechanical/System Failure, Takeoff/Landing Incident, Explosion/Decompression",Takeoff/Initial Climb,"Gao, Mali",Brussels,Gao,3,0,3,3,0,3,0
7/29/1951,,1951,Other,Collision,Other/Unknown,"Cochabamba, Bolivia",Cochabamba,Rio de Janeiro,7,4,3,7,4,3,0
